Source_ID,SS,SSBS
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 D 4
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 F 27
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 F 6
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 G 29
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 G 8
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 H 30
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 H 9
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 J 10
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 J 31
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 K 11
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 K 32
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 M 12
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 M 33
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 N 15
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 N 36
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 P 16
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 P 37
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 R 34
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 S 18
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 S 39
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 T 19
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 T 40
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 U 14
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 U 35
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 V 20
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 V 41
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 W 21
AD1_2006__Marshall,AD1_2006__Marshall 1,AD1_2006__Marshall 1 W 42
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 B 2
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 D 4
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 F 27
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 F 6
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 G 29
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 G 8
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 H 30
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 H 9
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 J 10
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 J 31
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 K 11
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 K 32
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 M 12
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 M 33
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 N 15
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 N 36
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 P 16
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 P 37
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 R 34
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 S 18
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 S 39
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 T 19
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 T 40
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 U 14
AD1_2006__Marshall,AD1_2006__Marshall 2,AD1_2006__Marshall 2 U 35
